#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             7.73293             7.73293
  0.1007             7.73293             7.73293
  0.2014             7.73293             7.73293
  0.3022             7.73293             7.73293
  0.4029             7.73293             7.73293
  0.5036             7.73293             7.73293
  0.6043             7.73293             7.73293
  0.7051             7.73293             7.73293
  0.8058             7.73293             7.73293
  0.9065             7.73293             7.73293
  1.0072             7.73293             7.73293
  1.1080             7.73293             7.73293
  1.2087             7.73293             7.73293
  1.3094             7.73293             7.73293
  1.4101             7.73293             7.73293
  1.5108             7.73293             7.73293
  1.6116             7.73293             7.73293
  1.7123             7.73293             7.73293
  1.8130             7.73293             7.73293
  1.9137             7.73293             7.73293
  2.0145             7.73293             7.73293
  2.1152             7.73293             7.73293
  2.2159             7.73292             7.73292
  2.3166             7.73292             7.73293
  2.4173             7.73292             7.73292
  2.5181             7.73292             7.73292
  2.6188             7.73292             7.73292
  2.7195             7.73292             7.73292
  2.8202             7.73292             7.73292
  2.9210             7.73292             7.73292
  3.0217             7.73292             7.73292
  3.1224             7.73292             7.73292
  3.2231             7.73292             7.73292
  3.3239             7.73292             7.73292
  3.4246             7.73292             7.73292
  3.5253             7.73292             7.73292
  3.6260             7.73292             7.73292
  3.7267             7.73292             7.73292
  3.8275             7.73292             7.73292
  3.9282             7.73292             7.73292
  4.0289             7.73292             7.73292
  4.1296             7.73292             7.73292
  4.2304             7.73292             7.73292
  4.3311             7.73292             7.73292
  4.4318             7.73292             7.73292
  4.5325             7.73292             7.73292
  4.6332             7.73292             7.73292
  4.7340             7.73292             7.73292
  4.8347             7.73292             7.73292
  4.9354             7.73292             7.73292
  5.0361             7.73292             7.73292
  5.1369             7.73292             7.73292
  5.2376             7.73292             7.73292
  5.3383             7.73291             7.73291
  5.4390             7.73291             7.73292
  5.5398             7.73291             7.73291
  5.6405             7.73291             7.73291
  5.7412             7.73291             7.73291
  5.8419             7.73291             7.73291
  5.9426             7.73291             7.73291
  6.0434             7.73291             7.73291
  6.1441             7.73291             7.73291
  6.2448             7.73291             7.73291
  6.3455             7.73291             7.73291
  6.4463             7.73291             7.73291
  6.5470             7.73291             7.73291
  6.6477             7.73291             7.73291
  6.7484             7.73291             7.73291
  6.8492             7.73291             7.73291
  6.9499             7.73291             7.73291
  7.0506             7.73291             7.73291
  7.1513             7.73291             7.73291
  7.2520             7.73291             7.73291
  7.3528             7.73291             7.73291
  7.4535             7.73291             7.73291
  7.5542             7.73291             7.73291
  7.6549             7.73291             7.73291
  7.7557             7.73291             7.73291
  7.8564             7.73291             7.73291
  7.9571             7.73290             7.73290
  8.0578             7.73290             7.73291
  8.1585             7.73290             7.73290
  8.2593             7.73290             7.73291
  8.3600             7.73290             7.73290
  8.4607             7.73290             7.73290
  8.5614             7.73290             7.73290
  8.6622             7.73290             7.73290
  8.7629             7.73290             7.73290
  8.8636             7.73290             7.73290
  8.9643             7.73290             7.73290
  9.0651             7.73290             7.73290
  9.1658             7.73290             7.73290
  9.2665             7.73290             7.73290
  9.3672             7.73290             7.73290
  9.4679             7.73290             7.73290
  9.5687             7.73290             7.73290
  9.6694             7.73290             7.73290
  9.7701             7.73290             7.73290
  9.8708             7.73290             7.73290
  9.9716             7.73290             7.73289
 10.0723             7.73290             7.73290
 10.1730             7.73290             7.73289
 10.2737             7.73289             7.73290
 10.3745             7.73289             7.73289
 10.4752             7.73289             7.73290
 10.5759             7.73289             7.73289
 10.6766             7.73289             7.73289
 10.7773             7.73289             7.73289
 10.8781             7.73289             7.73289
 10.9788             7.73289             7.73289
 11.0795             7.73289             7.73289
 11.1802             7.73289             7.73289
 11.2810             7.73289             7.73289
 11.3817             7.73289             7.73289
 11.4824             7.73289             7.73289
 11.5831             7.73289             7.73289
 11.6838             7.73289             7.73289
 11.7846             7.73289             7.73289
 11.8853             7.73289             7.73289
 11.9860             7.73289             7.73288
 12.0867             7.73289             7.73289
 12.1875             7.73289             7.73288
 12.2882             7.73288             7.73289
 12.3889             7.73288             7.73288
 12.4896             7.73288             7.73289
 12.5904             7.73288             7.73288
 12.6911             7.73288             7.73288
 12.7918             7.73288             7.73288
 12.8925             7.73288             7.73288
 12.9932             7.73288             7.73288
 13.0940             7.73288             7.73288
 13.1947             7.73288             7.73288
 13.2954             7.73288             7.73288
 13.3961             7.73288             7.73288
 13.4969             7.73288             7.73288
 13.5976             7.73288             7.73288
 13.6983             7.73288             7.73288
 13.7990             7.73288             7.73287
 13.8997             7.73288             7.73288
 14.0005             7.73287             7.73287
 14.1012             7.73287             7.73288
 14.2019             7.73287             7.73287
 14.3026             7.73287             7.73288
 14.4034             7.73287             7.73287
 14.5041             7.73287             7.73287
 14.6048             7.73287             7.73287
 14.7055             7.73287             7.73287
 14.8063             7.73287             7.73287
 14.9070             7.73287             7.73287
 15.0077             7.73287             7.73287
 15.1084             7.73287             7.73287
 15.2091             7.73287             7.73286
 15.3099             7.73287             7.73287
 15.4106             7.73287             7.73286
 15.5113             7.73286             7.73287
 15.6120             7.73286             7.73286
 15.7128             7.73286             7.73287
 15.8135             7.73286             7.73286
 15.9142             7.73286             7.73287
 16.0149             7.73286             7.73286
 16.1157             7.73286             7.73286
 16.2164             7.73286             7.73286
 16.3171             7.73286             7.73286
 16.4178             7.73286             7.73286
 16.5185             7.73286             7.73286
 16.6193             7.73286             7.73285
 16.7200             7.73286             7.73286
 16.8207             7.73286             7.73285
 16.9214             7.73285             7.73286
 17.0222             7.73285             7.73285
 17.1229             7.73285             7.73286
 17.2236             7.73285             7.73285
 17.3243             7.73285             7.73286
 17.4250             7.73285             7.73285
 17.5258             7.73285             7.73285
 17.6265             7.73285             7.73285
 17.7272             7.73285             7.73285
 17.8279             7.73285             7.73284
 17.9287             7.73285             7.73285
 18.0294             7.73285             7.73284
 18.1301             7.73285             7.73285
 18.2308             7.73284             7.73284
 18.3316             7.73284             7.73285
 18.4323             7.73284             7.73284
 18.5330             7.73284             7.73285
 18.6337             7.73284             7.73284
 18.7344             7.73284             7.73285
 18.8352             7.73284             7.73284
 18.9359             7.73284             7.73284
 19.0366             7.73284             7.73283
 19.1373             7.73284             7.73284
 19.2381             7.73284             7.73283
 19.3388             7.73284             7.73284
 19.4395             7.73283             7.73283
 19.5402             7.73283             7.73284
 19.6409             7.73283             7.73283
 19.7417             7.73283             7.73284
 19.8424             7.73283             7.73283
 19.9431             7.73283             7.73284
 20.0438             7.73283             7.73282
 20.1446             7.73283             7.73283
 20.2453             7.73283             7.73282
 20.3460             7.73283             7.73283
 20.4467             7.73283             7.73282
 20.5475             7.73282             7.73283
 20.6482             7.73282             7.73282
 20.7489             7.73282             7.73283
 20.8496             7.73282             7.73282
 20.9503             7.73282             7.73283
 21.0511             7.73282             7.73281
 21.1518             7.73282             7.73282
 21.2525             7.73282             7.73281
 21.3532             7.73282             7.73282
 21.4540             7.73281             7.73281
 21.5547             7.73281             7.73282
 21.6554             7.73281             7.73281
 21.7561             7.73281             7.73282
 21.8569             7.73281             7.73281
 21.9576             7.73281             7.73282
 22.0583             7.73281             7.73280
 22.1590             7.73281             7.73282
 22.2597             7.73280             7.73280
 22.3605             7.73280             7.73281
 22.4612             7.73280             7.73280
 22.5619             7.73280             7.73281
 22.6626             7.73279             7.73280
 22.7634             7.73279             7.73281
 22.8641             7.73278             7.73279
 22.9648             7.73278             7.73281
 23.0655             7.73277             7.73279
 23.1662             7.73276             7.73281
 23.2670             7.73274             7.73279
 23.3677             7.73272             7.73280
 23.4684             7.73270             7.73279
 23.5691             7.73266             7.73280
 23.6699             7.73262             7.73278
 23.7706             7.73256             7.73280
 23.8713             7.73248             7.73278
 23.9720             7.73237             7.73280
 24.0728             7.73222             7.73278
 24.1735             7.73202             7.73280
 24.2742             7.73175             7.73277
 24.3749             7.73140             7.73279
 24.4756             7.73091             7.73277
 24.5764             7.73026             7.73279
 24.6771             7.72939             7.73277
 24.7778             7.72822             7.73279
 24.8785             7.72664             7.73276
 24.9793             7.72450             7.73279
 25.0800             7.72161             7.73276
 25.1807             7.71777             7.73278
 25.2814             7.71275             7.73275
 25.3822             7.70630             7.73278
 25.4829             7.69818             7.73274
 25.5836             7.68812             7.73277
 25.6843             7.67588             7.73272
 25.7850             7.66119             7.73275
 25.8858             7.64379             7.73270
 25.9865             7.62343             7.73273
 26.0872             7.59988             7.73266
 26.1879             7.57293             7.73268
 26.2887             7.54237             7.73259
 26.3894             7.50803             7.73259
 26.4901             7.46972             7.73246
 26.5908             7.42721             7.73242
 26.6915             7.38026             7.73223
 26.7923             7.32858             7.73212
 26.8930             7.27184             7.73181
 26.9937             7.20968             7.73157
 27.0944             7.14169             7.73106
 27.1952             7.06746             7.73058
